time,frequency,confidence
5.670,36.634,0.949562
5.680,36.756,0.926419
5.690,36.699,0.943774
5.700,36.630,0.940605
5.710,36.638,0.939608
5.720,36.692,0.963809
5.730,36.559,0.949357
5.740,36.456,0.913708
5.750,36.450,0.948403
5.760,36.553,0.929471
5.770,36.619,0.928864
5.780,36.428,0.924473
5.790,36.299,0.860174
5.800,36.171,0.864832
5.810,36.275,0.910457
5.820,36.177,0.849161
5.830,36.318,0.926138
5.840,36.082,0.888579
5.850,36.237,0.885725
5.860,36.320,0.905403
5.870,36.307,0.902510
5.880,36.385,0.941946
5.890,36.414,0.939084
5.900,36.293,0.896594
5.910,36.296,0.930107
5.920,36.192,0.896221
5.930,36.139,0.885465
5.940,36.100,0.882892
5.950,36.271,0.901928
5.960,36.267,0.897984
5.970,36.290,0.914841
5.980,36.316,0.891877
5.990,36.396,0.918824
6.000,36.413,0.905484
6.010,36.294,0.910833
6.020,36.435,0.947279
6.030,36.415,0.918913
6.040,36.252,0.909054
6.050,36.374,0.940712
6.060,36.323,0.893404
6.070,36.320,0.933455
6.080,36.343,0.948124
6.090,36.286,0.912314
6.100,36.482,0.941892
6.110,36.393,0.926011
6.120,36.284,0.907586
6.130,36.406,0.933083
6.140,36.379,0.905309
6.150,36.445,0.909030
6.160,36.511,0.947700
6.170,36.512,0.896946
6.180,36.648,0.937519
6.190,36.556,0.937945
6.200,36.616,0.889066
6.210,36.694,0.948353
6.220,36.641,0.907264
6.230,36.534,0.892795
6.240,36.616,0.933983
6.250,36.593,0.874118
6.260,36.437,0.890831
6.270,36.546,0.919624
6.280,36.581,0.866766
6.290,36.576,0.909643
6.300,36.465,0.921636
6.310,36.459,0.878973
6.320,36.604,0.926338
6.330,36.447,0.917803
6.340,36.200,0.879534
6.350,36.387,0.919414
6.360,36.528,0.883463
6.370,36.537,0.910514
6.380,36.572,0.919434
6.390,36.546,0.889725
6.400,36.657,0.887819
6.410,36.457,0.909594
6.420,36.434,0.894873
6.430,36.477,0.908064
6.440,36.459,0.921084
6.450,36.415,0.898866
6.460,36.259,0.921528
6.470,36.344,0.898327
6.480,36.312,0.895632
6.490,36.047,0.853620
6.500,36.290,0.888207
6.510,36.254,0.910530
6.520,36.386,0.912657
6.530,36.492,0.908936
6.540,36.466,0.945581
6.550,36.396,0.928707
6.560,36.458,0.930229
6.570,36.342,0.928227
6.580,36.379,0.926813
6.590,36.298,0.927893
6.600,36.161,0.880408
6.610,36.287,0.863056
6.620,36.355,0.920765
6.630,36.249,0.862557
6.640,36.121,0.823341
6.650,36.189,0.881838
6.660,36.036,0.812092
6.670,36.424,0.883363
6.680,36.300,0.902965
6.690,36.106,0.811650
6.700,36.331,0.916321
6.710,36.268,0.892692
6.720,36.221,0.879945
6.730,36.418,0.939529
6.740,36.417,0.906279
6.750,36.617,0.889609
6.760,36.521,0.919641
6.770,36.285,0.844028
6.780,36.272,0.914533
6.790,36.099,0.887551
6.800,36.141,0.863821
6.810,36.343,0.899410
6.820,36.354,0.887011
6.830,36.321,0.888279
6.840,36.417,0.908458
6.850,36.244,0.862990
6.860,36.292,0.861090
6.870,36.433,0.907086
6.880,36.390,0.880438
6.890,36.534,0.927698
6.900,36.589,0.902062
6.910,36.271,0.524052
6.920,36.300,0.039651
6.930,99.714,0.058800
6.940,984.931,0.065836
6.950,698.354,0.035793
6.960,659.298,0.102309
6.970,658.425,0.087225
6.980,659.145,0.092118
6.990,397.546,0.068908
7.000,311.852,0.052823
7.010,129.048,0.070241
7.020,128.632,0.054383
7.030,128.254,0.178571
7.040,129.400,0.069177
7.050,938.026,0.072210
7.060,937.624,0.088672
7.070,172.174,0.081289
7.080,172.445,0.119986
7.090,171.007,0.154077
7.100,172.064,0.407894
7.110,172.137,0.319566
7.120,172.605,0.311839
7.130,43.111,0.464753
7.140,43.102,0.402040
7.150,43.140,0.188035
7.160,43.058,0.260604
7.170,171.018,0.299681
7.180,171.622,0.281983
7.190,173.084,0.523994
7.200,43.234,0.252705
7.210,43.197,0.318280
7.220,172.478,0.172153
7.230,174.383,0.234506
7.240,172.721,0.168528
7.250,170.963,0.102432
7.260,172.070,0.113094
7.270,172.049,0.185388
7.280,43.220,0.090648
7.290,43.097,0.191175
7.300,43.119,0.237652
7.310,43.228,0.079892
7.320,63.829,0.121781
7.330,54.603,0.104294
7.340,129.904,0.214930
7.350,129.560,0.175880
7.360,257.708,0.107246
7.370,257.130,0.072720
7.380,206.773,0.051478
7.390,33.019,0.042887
7.400,221.847,0.029632
7.410,32.355,0.115773
7.420,32.503,0.066477
7.430,32.719,0.423868
7.440,32.783,0.010695
7.450,132.845,0.005056
7.460,262.645,0.029222
7.470,261.564,0.049920
7.480,32.314,0.013507
7.490,256.229,0.045263
7.500,256.757,0.199686
7.510,187.997,0.227858
7.520,260.310,0.502815
7.530,262.977,0.535692
7.540,262.427,0.188349
7.550,237.196,0.168278
7.560,237.640,0.138664
7.570,236.700,0.194452
7.580,236.757,0.209809
7.590,239.443,0.543002
7.600,242.606,0.201966
7.610,140.102,0.019559
7.620,133.732,0.018401
7.630,457.972,0.052976
7.640,152.739,0.122305
7.650,173.044,0.147798
7.660,167.670,0.103972
7.670,173.349,0.124538
7.680,172.309,0.271866
7.690,172.249,0.470998
7.700,174.900,0.314841
7.710,467.062,0.117687
7.720,465.513,0.156544
7.730,128.745,0.207624
7.740,175.037,0.153432
7.750,179.350,0.132684
7.760,32.706,0.080340
7.770,32.632,0.041219
7.780,79.723,0.059903
7.790,76.560,0.033420
7.800,69.635,0.129029
7.810,69.925,0.344431
7.820,70.774,0.394079
7.830,72.893,0.422999
7.840,73.326,0.517302
7.850,36.631,0.416123
7.860,36.364,0.318796
7.870,36.496,0.778190
7.880,36.600,0.792219
7.890,36.607,0.826118
7.900,36.567,0.872811
7.910,36.564,0.895465
7.920,36.647,0.919418
7.930,36.631,0.900087
7.940,36.504,0.883335
7.950,36.717,0.907921
7.960,36.754,0.903194
7.970,36.609,0.904291
7.980,36.733,0.911468
7.990,36.717,0.896406
8.000,36.718,0.909458
8.010,36.547,0.916311
8.020,36.574,0.909801
8.030,36.666,0.915301
8.040,36.642,0.873731
8.050,36.542,0.910349
8.060,36.629,0.917322
8.070,36.695,0.888874
8.080,36.675,0.913760
8.090,36.569,0.907520
8.100,36.584,0.894486
8.110,36.737,0.921923
8.120,36.656,0.895080
8.130,36.594,0.930245
8.140,36.763,0.928280
8.150,36.788,0.911636
8.160,36.853,0.901864
8.170,36.901,0.901275
8.180,36.806,0.871667
8.190,37.080,0.848874
8.200,36.972,0.880707
8.210,36.850,0.864885
8.220,37.202,0.836462
8.230,36.951,0.868246
8.240,36.997,0.790632
8.250,37.397,0.663294
8.260,37.237,0.588611
8.270,37.017,0.810848
8.280,37.549,0.666415
8.290,37.303,0.673219
8.300,36.833,0.792442
8.310,36.965,0.843013
8.320,36.903,0.877705
8.330,36.735,0.837257
8.340,37.043,0.859426
8.350,36.807,0.846214
8.360,36.764,0.860896
8.370,36.870,0.894933
8.380,36.688,0.908768
8.390,36.806,0.887823
8.400,36.986,0.872138
8.410,36.818,0.880643
8.420,36.779,0.879081
8.430,36.784,0.906498
8.440,36.658,0.869857
8.450,36.620,0.921704
8.460,36.596,0.898189
8.470,36.554,0.870231
8.480,36.698,0.900389
8.490,36.797,0.884678
8.500,36.857,0.820517
8.510,36.886,0.840482
8.520,36.712,0.827995
8.530,36.579,0.887160
8.540,36.645,0.856905
8.550,36.462,0.838752
8.560,36.656,0.872534
8.570,36.606,0.831872
8.580,36.425,0.794120
8.590,36.408,0.854771
8.600,36.306,0.764124
8.610,36.203,0.814286
8.620,36.059,0.767030
8.630,35.889,0.772684
8.640,35.817,0.787652
8.650,36.031,0.835175
8.660,36.062,0.762996
8.670,35.990,0.770773
8.680,35.986,0.859484
8.690,36.039,0.799233
8.700,36.370,0.849311
8.710,36.468,0.905020
8.720,36.476,0.907983
8.730,36.441,0.885215
8.740,36.506,0.926095
8.750,36.259,0.887830
8.760,36.295,0.890465
8.770,36.413,0.923096
8.780,36.365,0.893215
8.790,36.388,0.917411
8.800,36.543,0.892482
8.810,36.523,0.895250
8.820,36.649,0.933046
8.830,36.626,0.908003
8.840,36.443,0.888952
8.850,36.534,0.912211
8.860,36.407,0.893759
8.870,36.509,0.906469
8.880,36.625,0.931419
8.890,36.577,0.901070
8.900,36.708,0.920477
8.910,36.737,0.897071
8.920,36.506,0.882411
8.930,36.653,0.932267
8.940,36.622,0.879093
8.950,36.692,0.886849
8.960,36.813,0.914379
8.970,36.457,0.886286
8.980,36.420,0.907147
8.990,36.590,0.908009
9.000,36.541,0.888137
9.010,36.658,0.925743
9.020,36.593,0.927140
9.030,36.405,0.907301
9.040,36.581,0.927418
9.050,36.428,0.902738
9.060,36.429,0.908922
9.070,36.542,0.913946
9.080,36.668,0.889341
9.090,36.817,0.901937
9.100,36.711,0.921312
9.110,36.647,0.902202
9.120,36.563,0.916494
9.130,36.472,0.877277
9.140,36.732,0.895013
9.150,36.717,0.925165
9.160,36.803,0.885844
9.170,36.836,0.894661
9.180,36.655,0.885569
9.190,36.455,0.902831
9.200,36.368,0.889665
9.210,36.359,0.890976
9.220,36.438,0.904496
9.230,36.528,0.892346
9.240,36.656,0.882379
9.250,36.743,0.899607
9.260,36.689,0.889494
9.270,36.397,0.868109
9.280,36.253,0.864528
9.290,36.299,0.863911
9.300,36.356,0.880253
9.310,36.288,0.842481
9.320,36.340,0.853015
9.330,36.322,0.848207
9.340,36.391,0.832042
9.350,36.346,0.848152
9.360,36.198,0.827856
9.370,36.233,0.775333
9.380,36.333,0.838927
9.390,36.282,0.828165
9.400,36.386,0.849729
9.410,36.265,0.872692
9.420,36.300,0.840005
9.430,36.374,0.862204
9.440,36.397,0.878510
9.450,36.419,0.834559
9.460,36.413,0.848815
9.470,36.369,0.868787
9.480,36.528,0.830832
9.490,36.549,0.882249
9.500,36.333,0.859719
9.510,36.348,0.867987
9.520,36.146,0.841461
9.530,36.185,0.831302
9.540,36.340,0.862484
9.550,36.388,0.878506
9.560,36.550,0.842399
9.570,36.549,0.861154
9.580,36.284,0.864725
9.590,36.417,0.840257
9.600,36.395,0.870387
9.610,36.323,0.881363
9.620,36.319,0.875707
9.630,36.171,0.855675
9.640,36.137,0.816721
9.650,36.401,0.865196
9.660,36.389,0.879788
9.670,36.460,0.874519
9.680,36.356,0.865064
9.690,36.364,0.872971
9.700,36.372,0.883868
9.710,36.567,0.894914
9.720,36.625,0.884968
9.730,36.696,0.901516
9.740,36.678,0.883905
9.750,36.702,0.887439
9.760,36.754,0.865860
9.770,36.770,0.871598
9.780,36.717,0.890012
9.790,36.498,0.884633
9.800,36.581,0.882934
9.810,36.544,0.896884
9.820,36.477,0.895172
9.830,36.460,0.897358
9.840,36.465,0.898253
9.850,36.560,0.884218
9.860,36.574,0.904695
9.870,36.355,0.884360
9.880,36.280,0.884489
9.890,36.422,0.887665
9.900,36.656,0.885653
9.910,36.834,0.859861
9.920,36.735,0.896008
9.930,36.575,0.870350
9.940,36.558,0.902350
9.950,36.248,0.855880
9.960,36.615,0.858531
9.970,36.671,0.907994
9.980,36.723,0.847930
9.990,36.904,0.847780
10.000,36.774,0.901887
10.010,36.427,0.864281
10.020,36.593,0.911301
10.030,36.335,0.884666
10.040,36.406,0.887211
10.050,36.560,0.923807
10.060,36.150,0.840240
10.070,36.332,0.896708
10.080,36.440,0.920922
10.090,36.305,0.881992
10.100,36.466,0.902166
10.110,36.315,0.892299
10.120,36.292,0.862522
10.130,36.434,0.914514
10.140,36.089,0.836268
10.150,36.242,0.880485
10.160,36.360,0.915024
10.170,35.935,0.746635
10.180,36.252,0.876896
10.190,36.295,0.903938
10.200,36.187,0.875562
10.210,36.381,0.911636
10.220,36.238,0.889035
10.230,36.338,0.877489
10.240,36.453,0.915574
10.250,36.075,0.840114
10.260,36.174,0.870593
10.270,36.427,0.923154
10.280,36.265,0.880628
10.290,36.402,0.899705
10.300,36.363,0.910632
10.310,36.327,0.871588
10.320,36.433,0.911873
10.330,36.070,0.837766
10.340,36.240,0.855828
10.350,36.464,0.902555
10.360,36.212,0.876142
10.370,36.365,0.863676
10.380,36.444,0.884247
10.390,36.737,0.735284
10.400,35.010,0.297216
10.410,32.464,0.020513
10.420,653.410,0.055139
10.430,660.508,0.070541
10.440,663.432,0.059230
10.450,647.829,0.043661
10.460,657.743,0.120438
