time,frequency,confidence
9.510,294.776,0.727389
9.520,147.692,0.765110
9.530,293.014,0.369631
9.540,448.257,0.163500
9.550,224.570,0.269143
9.560,258.785,0.390248
9.570,262.639,0.642534
9.580,263.639,0.775138
9.590,264.321,0.885201
9.600,264.962,0.956873
9.610,266.115,0.975302
9.620,266.502,0.967026
9.630,265.961,0.975154
9.640,264.728,0.957777
9.650,262.604,0.954012
9.660,259.700,0.943534
9.670,257.021,0.951869
9.680,255.278,0.934023
9.690,254.703,0.943556
9.700,256.197,0.945785
9.710,258.724,0.927688
9.720,261.574,0.929387
9.730,264.503,0.933182
9.740,266.646,0.952234
9.750,267.105,0.939976
9.760,267.127,0.934565
9.770,266.065,0.957885
9.780,262.926,0.898206
9.790,257.948,0.853341
9.800,254.076,0.928441
9.810,254.079,0.946658
9.820,256.057,0.957304
9.830,259.149,0.936836
9.840,262.199,0.918211
9.850,266.414,0.922777
9.860,269.852,0.943389
9.870,271.255,0.962821
9.880,269.776,0.943723
9.890,266.546,0.946779
9.900,263.290,0.942932
9.910,261.386,0.943063
9.920,260.184,0.911795
9.930,258.989,0.727465
9.940,256.668,0.544231
9.950,253.834,0.328261
9.960,260.520,0.446852
9.970,262.010,0.827085
9.980,264.276,0.808813
9.990,268.674,0.821282
10.000,273.721,0.827917
10.010,278.634,0.841426
10.020,282.518,0.810173
10.030,283.957,0.648783
10.040,286.468,0.427236
10.050,265.582,0.445958
10.060,265.169,0.451073
10.070,272.676,0.461120
10.080,272.477,0.602475
10.090,267.211,0.461381
10.100,262.522,0.565991
10.110,261.167,0.701840
10.120,264.054,0.733726
10.130,265.081,0.618163
10.140,266.394,0.398004
10.150,290.456,0.367117
10.160,291.078,0.576437
10.170,286.960,0.402593
10.180,267.035,0.647534
10.190,264.125,0.820672
10.200,262.405,0.900969
10.210,263.077,0.910835
10.220,263.230,0.892151
10.230,262.918,0.849615
10.240,261.736,0.777275
10.250,260.958,0.785492
10.260,261.294,0.773837
10.270,261.296,0.844943
10.280,261.061,0.857099
10.290,261.679,0.811164
10.300,261.561,0.835687
10.310,262.172,0.867636
10.320,262.288,0.910438
10.330,262.313,0.920558
10.340,262.159,0.914711
10.350,262.893,0.917316
10.360,263.255,0.923404
10.370,263.171,0.902644
10.380,263.112,0.901971
10.390,264.273,0.897433
10.400,265.985,0.834754
10.410,268.199,0.698524
10.420,277.257,0.608178
10.430,282.834,0.515730
10.440,286.569,0.577591
10.450,291.507,0.821164
10.460,294.197,0.914753
10.470,295.019,0.963015
10.480,295.146,0.975804
10.490,295.592,0.969178
10.500,295.894,0.958404
10.510,295.341,0.958333
10.520,294.263,0.960947
10.530,293.005,0.920509
10.540,292.280,0.947825
10.550,291.982,0.953542
10.560,292.051,0.950226
10.570,292.085,0.954094
10.580,292.425,0.946456
10.590,292.670,0.936646
10.600,293.499,0.950322
10.610,294.279,0.969358
10.620,294.943,0.973682
10.630,294.999,0.973241
10.640,294.939,0.972463
10.650,294.630,0.969985
10.660,294.328,0.966608
10.670,294.193,0.966202
10.680,294.362,0.969967
10.690,294.839,0.971182
10.700,294.904,0.971411
